time,open,high,low,close,volume
2024-07-11 22:00:00+00:00,57461.22,57553.1,57147.97,57340.53,231.10198046
2024-07-11 23:00:00+00:00,57346.62,57403.61,57153.62,57340.77,276.81778808
2024-07-12 00:00:00+00:00,57343.66,57577.14,57152.37,57182.03,209.5468437
2024-07-12 01:00:00+00:00,57182.02,57362.15,56538.33,56949.33,512.28094743
2024-07-12 02:00:00+00:00,56949.32,57419.57,56883.58,57328.17,356.47692712
2024-07-12 03:00:00+00:00,57325.31,57368.88,56859.95,56916.82,174.92939541
2024-07-12 04:00:00+00:00,56916.82,57075.25,56721.41,57021.82,199.18812862
2024-07-12 05:00:00+00:00,57021.65,57125.2,56944.0,57030.71,197.98745408
2024-07-12 06:00:00+00:00,57030.7,57407.39,57023.78,57217.63,265.3919309
2024-07-12 07:00:00+00:00,57218.23,57316.56,56851.72,57114.39,426.34150103
2024-07-12 08:00:00+00:00,57114.38,57331.74,57022.96,57320.88,250.82828184
2024-07-12 09:00:00+00:00,57321.44,57325.91,56867.32,56953.32,157.95394006
2024-07-12 10:00:00+00:00,56953.31,57200.0,56763.56,57182.56,212.4151493
2024-07-12 11:00:00+00:00,57178.99,57296.44,57072.92,57225.1,232.64691323
2024-07-12 12:00:00+00:00,57225.09,57502.89,57102.47,57395.33,622.72814683
2024-07-12 13:00:00+00:00,57395.41,58024.8,57361.36,57863.87,909.56392453
2024-07-12 14:00:00+00:00,57863.87,58043.3,57702.51,57837.5,684.43629908
2024-07-12 15:00:00+00:00,57837.51,58295.08,57786.54,58221.0,551.52805561
2024-07-12 16:00:00+00:00,58221.78,58449.99,57944.78,58129.72,477.14626949
2024-07-12 17:00:00+00:00,58129.79,58336.07,57966.66,58180.37,685.70218234
2024-07-12 18:00:00+00:00,58176.05,58550.0,58082.9,58320.71,945.16518002
2024-07-12 19:00:00+00:00,58318.09,58381.28,57519.15,57611.34,1272.42537451
2024-07-12 20:00:00+00:00,57601.72,57672.94,57152.89,57539.5,734.94098345
2024-07-12 21:00:00+00:00,57539.51,57700.0,57504.19,57608.01,166.1152326
2024-07-12 22:00:00+00:00,57604.69,57898.41,57585.99,57796.43,159.52256263
2024-07-12 23:00:00+00:00,57797.13,57935.81,57725.0,57909.03,111.34237768
2024-07-13 00:00:00+00:00,57908.61,57949.99,57780.03,57855.76,123.93377098
2024-07-13 01:00:00+00:00,57855.77,57990.56,57813.65,57900.56,77.73691632
2024-07-13 02:00:00+00:00,57900.56,57983.55,57781.64,57963.06,69.80375048
2024-07-13 03:00:00+00:00,57961.8,58011.12,57806.43,57840.0,48.22177102
2024-07-13 04:00:00+00:00,57840.0,57878.02,57788.03,57799.98,47.67265118
2024-07-13 05:00:00+00:00,57796.83,58177.83,57770.92,58090.19,114.80495216
2024-07-13 06:00:00+00:00,58091.32,58238.08,58017.85,58046.42,82.63548735
2024-07-13 07:00:00+00:00,58049.74,58180.44,58023.46,58178.51,62.65564424
2024-07-13 08:00:00+00:00,58178.5,58208.64,57959.1,57970.55,64.45246464
2024-07-13 09:00:00+00:00,57976.03,58844.02,57931.05,58687.09,385.50683462
2024-07-13 10:00:00+00:00,58687.09,58776.8,58355.2,58441.16,134.17981955
2024-07-13 11:00:00+00:00,58448.32,58610.28,58388.2,58541.5,110.62578426
2024-07-13 12:00:00+00:00,58541.51,58898.0,58439.79,58767.35,324.20972047
2024-07-13 13:00:00+00:00,58763.57,58836.56,58572.77,58625.45,223.50263526
2024-07-13 14:00:00+00:00,58620.46,58809.62,58477.14,58805.25,104.65354655
2024-07-13 15:00:00+00:00,58798.52,58887.29,58691.63,58848.18,169.04162217
2024-07-13 16:00:00+00:00,58848.11,58978.53,58607.16,58630.0,199.41395659
2024-07-13 17:00:00+00:00,58630.0,58717.69,58580.0,58717.68,90.64465769
2024-07-13 18:00:00+00:00,58717.68,58818.57,58580.57,58645.22,92.80094052
2024-07-13 19:00:00+00:00,58650.66,58759.08,58606.08,58636.19,68.65198766
